id,adj_p_value,p_value,t,b,logfc,gene_symbol,gene_title
205133_s_at,0.0103,1.94e-05,6.343471,3.117045,1.682674,HSPE1,heat shock protein family E (Hsp10) member 1
206247_at,0.0103,1.94e-05,-6.341779,3.114462,-0.8820176,MICB,MHC class I polypeptide-related sequence B
220659_s_at,0.01049,2.07e-05,-6.304652,3.057703,-0.7560681,C7orf43,chromosome 7 open reading frame 43
214789_x_at,0.01049,2.14e-05,6.282841,3.024255,1.0664771,SRSF8,serine and arginine rich splicing factor 8
220607_x_at,0.01049,2.18e-05,6.273292,3.009586,1.2413757,NELFCD,negative elongation factor complex member C/D
201176_s_at,0.01049,2.18e-05,6.272366,3.008162,1.3494088,ARCN1,archain 1
220926_s_at,0.01049,2.21e-05,6.263017,2.993786,0.8801431,EDEM3,ER degradation enhancing alpha-mannosidase like protein 3
201095_at,0.01064,2.29e-05,6.242204,2.96173,1.0999212,DAP,death associated protein
202304_at,0.0111,2.44e-05,6.204359,2.903262,1.6502969,FNDC3A,fibronectin type III domain containing 3A
203909_at,0.0114,2.57e-05,6.173251,2.855029,1.7978869,SLC9A6,solute carrier family 9 member A6
204946_s_at,0.0114,2.62e-05,-6.162634,2.838533,-0.6565719,TOP3A,topoisomerase (DNA) III alpha
202842_s_at,0.0114,2.76e-05,6.130639,2.788706,1.8703983,DNAJB9,DnaJ heat shock protein family (Hsp40) member B9
202710_at,0.0114,2.85e-05,6.111685,2.759112,1.5441169,BET1,Bet1 golgi vesicular membrane trafficking protein
216183_at,0.0114,3.04e-05,-6.075016,2.701692,-0.8095657,TGM2,transglutaminase 2
213716_s_at,0.0114,3.08e-05,-6.067117,2.689294,-1.4199462,SECTM1,secreted and transmembrane 1
211954_s_at,0.0114,3.08e-05,6.066666,2.688587,1.3416707,IPO5,importin 5
219510_at,0.0114,3.13e-05,-6.056991,2.673387,-0.7249131,POLQ,DNA polymerase theta
201655_s_at,0.0114,3.17e-05,-6.04994,2.6623,-0.9179319,HSPG2,heparan sulfate proteoglycan 2
214167_s_at,0.0114,3.23e-05,6.03806,2.643603,1.8970431,RPLP0,ribosomal protein lateral stalk subunit P0
219379_x_at,0.0114,3.24e-05,-6.03652,2.641178,-0.9278098,ZNF358,zinc finger protein 358
213111_at,0.0114,3.26e-05,6.03252,2.634876,1.8075362,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing"
212160_at,0.0114,3.3e-05,6.026271,2.625027,1.8503176,XPOT,exportin for tRNA
218512_at,0.0114,3.42e-05,6.004286,2.590325,1.3487707,WDR12,WD repeat domain 12
209004_s_at,0.0114,3.51e-05,5.989632,2.56715,2.0144667,FBXL5,F-box and leucine rich repeat protein 5
212089_at,0.0114,3.56e-05,-5.9808,2.553167,-1.0449695,LMNA,lamin A/C
221532_s_at,0.0114,3.59e-05,5.975772,2.545201,2.0585329,WDR61,WD repeat domain 61
212648_at,0.0114,3.6e-05,5.974841,2.543725,1.5718919,DHX29,DEAH-box helicase 29
212961_x_at,0.0114,3.61e-05,5.972199,2.539537,1.1154481,CXorf40B,chromosome X open reading frame 40B
214004_s_at,0.0114,3.65e-05,-5.967016,2.531319,-0.963786,VGLL4,vestigial like family member 4
208943_s_at,0.0114,3.74e-05,5.952782,2.508724,1.6844729,SEC62,"SEC62 homolog, preprotein translocation factor"
202843_at,0.0114,3.81e-05,5.941038,2.490057,1.6443176,DNAJB9,DnaJ heat shock protein family (Hsp40) member B9
200713_s_at,0.0114,3.81e-05,5.940621,2.489394,1.3463907,MAPRE1,microtubule associated protein RP/EB family member 1
219815_at,0.0114,4.06e-05,-5.903947,2.430958,-0.797255,GAL3ST4,galactose-3-O-sulfotransferase 4
203966_s_at,0.0114,4.26e-05,5.876474,2.387042,1.5574926,PPM1A,"protein phosphatase, Mg2+/Mn2+ dependent 1A"
203109_at,0.0114,4.27e-05,5.875563,2.385584,1.0502269,UBE2M,ubiquitin conjugating enzyme E2 M
202491_s_at,0.0114,4.27e-05,5.8748,2.384362,1.3400719,IKBKAP,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein"
201581_at,0.0114,4.28e-05,5.873582,2.382411,2.3795488,TMX4,thioredoxin related transmembrane protein 4
200698_at,0.0114,4.36e-05,5.86244,2.364562,1.8251662,KDELR2,KDEL endoplasmic reticulum protein retention receptor 2
208777_s_at,0.0114,4.38e-05,5.860531,2.361501,1.308931,PSMD11,"proteasome 26S subunit, non-ATPase 11"
204345_at,0.0114,4.38e-05,-5.86044,2.361355,-0.9250929,COL16A1,collagen type XVI alpha 1 chain
221476_s_at,0.0114,4.49e-05,5.845276,2.337025,1.5734521,RPL15,ribosomal protein L15
217837_s_at,0.0114,4.6e-05,5.83145,2.314809,1.7519281,RNF103-CHMP3///CHMP3,RNF103-CHMP3 readthrough///charged multivesicular body protein 3
208802_at,0.0114,4.62e-05,5.828728,2.310431,1.3170564,SRP72,signal recognition particle 72
201390_s_at,0.0114,4.63e-05,5.827301,2.308135,0.9901945,CSNK2B,casein kinase 2 beta
203583_at,0.0114,4.71e-05,5.818597,2.294129,1.7185583,UNC50,unc-50 inner nuclear membrane RNA binding protein
208804_s_at,0.0114,4.75e-05,5.81291,2.284971,1.0316314,SRSF6,serine and arginine rich splicing factor 6
201157_s_at,0.0114,4.8e-05,5.806635,2.274858,1.177754,NMT1,N-myristoyltransferase 1
204328_at,0.0114,4.9e-05,-5.795527,2.256944,-0.7324705,TMC6,transmembrane channel like 6
218071_s_at,0.0114,4.97e-05,5.78645,2.242291,0.8420907,MKRN2,makorin ring finger protein 2
204585_s_at,0.0114,4.99e-05,-5.784398,2.238977,-0.7157924,L1CAM,L1 cell adhesion molecule
206747_at,0.0114,4.99e-05,-5.784375,2.238939,-0.9642331,GPRIN2,G protein regulated inducer of neurite outgrowth 2
212532_s_at,0.0114,5.02e-05,5.781313,2.233992,1.0561533,LSM12,LSM12 homolog
214683_s_at,0.0114,5.16e-05,5.765243,2.208004,1.4026926,CLK1,CDC like kinase 1
200903_s_at,0.0114,5.18e-05,5.763472,2.205137,1.8068933,AHCY,adenosylhomocysteinase
208675_s_at,0.0114,5.19e-05,5.761485,2.201922,1.6050633,DDOST,dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
206095_s_at,0.0114,5.27e-05,5.753549,2.189068,1.4107555,SRSF10,serine and arginine rich splicing factor 10
213769_at,0.0114,5.28e-05,-5.751866,2.18634,-0.7455807,KSR1,kinase suppressor of ras 1
203353_s_at,0.0114,5.28e-05,5.751651,2.185991,0.9219443,MBD1,methyl-CpG binding domain protein 1
218025_s_at,0.0114,5.32e-05,5.748246,2.180472,1.6245331,ECI2,enoyl-CoA delta isomerase 2
212537_x_at,0.0114,5.41e-05,5.738576,2.164789,1.2840524,RPL17-C18orf32///SNORD58C///C18orf32///SNORD58A///SNORD58B///RPL17,"RPL17-C18orf32 readthrough///small nucleolar RNA, C/D box 58C///chromosome 18 open reading frame 32///small nucleolar RNA, C/D box 58A///small nucleolar RNA, C/D box 58B///ribosomal protein L17"
210185_at,0.0114,5.42e-05,-5.737305,2.162725,-0.7824762,CACNB1,calcium voltage-gated channel auxiliary subunit beta 1
218694_at,0.0114,5.44e-05,5.734655,2.158424,1.4809683,ARMCX1,"armadillo repeat containing, X-linked 1"
216768_x_at,0.0114,5.57e-05,-5.721792,2.137531,-0.9791219,TTC38,tetratricopeptide repeat domain 38
218919_at,0.0114,5.58e-05,5.720164,2.134885,1.6589062,ZFAND1,zinc finger AN1-type containing 1
210296_s_at,0.0114,5.61e-05,5.717355,2.130317,2.2841545,PEX2,peroxisomal biogenesis factor 2
209404_s_at,0.0114,5.7e-05,5.70789,2.114921,0.9730343,TMED7-TICAM2///TMED7,TMED7-TICAM2 readthrough///transmembrane p24 trafficking protein 7
209340_at,0.0114,5.72e-05,5.705897,2.111676,1.6500848,UAP1,UDP-N-acetylglucosamine pyrophosphorylase 1
203269_at,0.0114,5.73e-05,5.704675,2.109687,1.1162376,NSMAF,neutral sphingomyelinase activation associated factor
201832_s_at,0.0114,5.77e-05,5.700676,2.103175,1.6676157,USO1,USO1 vesicle transport factor
202102_s_at,0.0114,5.84e-05,-5.694401,2.092952,-1.1530664,BRD4,bromodomain containing 4
209476_at,0.0114,5.91e-05,5.68715,2.081132,1.8618345,TMX1,thioredoxin related transmembrane protein 1
213246_at,0.0114,5.92e-05,5.686812,2.08058,1.9701838,TMEM251,transmembrane protein 251
214158_s_at,0.0114,5.92e-05,-5.686728,2.080442,-0.7425102,PRDM10,PR/SET domain 10
201572_x_at,0.0114,6e-05,5.678813,2.067529,1.4355969,DCTD,dCMP deaminase
210365_at,0.0114,6.19e-05,-5.660489,2.037595,-0.551419,LOC101928269///LOC100506403///RUNX1,uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1
213812_s_at,0.0114,6.22e-05,-5.658366,2.034124,-0.8962207,CAMKK2,calcium/calmodulin dependent protein kinase kinase 2
208787_at,0.0114,6.22e-05,5.657855,2.033289,1.6547338,MRPL3,mitochondrial ribosomal protein L3
215596_s_at,0.0114,6.28e-05,5.652814,2.025042,1.0382064,LTN1,listerin E3 ubiquitin protein ligase 1
209091_s_at,0.0114,6.3e-05,5.650533,2.021309,2.017534,SH3GLB1,SH3 domain containing GRB2 like endophilin B1
203261_at,0.0114,6.34e-05,5.64703,2.015575,1.5800012,DCTN6,dynactin subunit 6
218932_at,0.0114,6.36e-05,5.645382,2.012877,1.7822171,ZNHIT6,zinc finger HIT-type containing 6
205825_at,0.0114,6.39e-05,5.642716,2.008511,3.4820355,PCSK1,proprotein convertase subtilisin/kexin type 1
218343_s_at,0.0114,6.43e-05,5.639084,2.002562,1.325805,GTF3C3,general transcription factor IIIC subunit 3
201322_at,0.0114,6.53e-05,5.630743,1.988891,1.3514538,ATP5B,"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide"
212352_s_at,0.0114,6.53e-05,5.629909,1.987522,1.8092281,TMED10,transmembrane p24 trafficking protein 10
208841_s_at,0.0114,6.55e-05,5.628884,1.985841,2.1178131,G3BP2,G3BP stress granule assembly factor 2
212759_s_at,0.0114,6.64e-05,-5.621129,1.973119,-0.9778521,TCF7L2,transcription factor 7 like 2
200657_at,0.0114,6.64e-05,5.620366,1.971866,1.4801583,SLC25A5,solute carrier family 25 member 5
201824_at,0.0114,6.65e-05,5.620025,1.971308,0.9712719,RNF14,ring finger protein 14
201736_s_at,0.01163,6.92e-05,5.596885,1.933284,1.1066683,MARCH6,membrane associated ring-CH-type finger 6
201916_s_at,0.01163,6.93e-05,5.596153,1.93208,1.9499129,SEC63,"SEC63 homolog, protein translocation regulator"
200052_s_at,0.01163,6.94e-05,5.595565,1.931111,2.3115621,ILF2,interleukin enhancer binding factor 2
215606_s_at,0.01164,7.05e-05,-5.586633,1.91641,-0.64381,ERC1,ELKS/RAB6-interacting/CAST family member 1
217439_at,0.01164,7.13e-05,-5.579887,1.905299,-0.6484955,LOC101928278,uncharacterized LOC101928278
219133_at,0.01164,7.15e-05,5.578968,1.903784,1.0210331,OXSM,"3-oxoacyl-ACP synthase, mitochondrial"
222268_x_at,0.01164,7.24e-05,-5.571726,1.891846,-0.84975,MUC5B,"mucin 5B, oligomeric mucus/gel-forming"
207812_s_at,0.01164,7.27e-05,5.569298,1.887843,1.5758845,GORASP2,golgi reassembly stacking protein 2
213412_at,0.01164,7.35e-05,-5.563233,1.877836,-0.6979802,TJP3,tight junction protein 3
217600_at,0.01164,7.47e-05,-5.553803,1.862268,-0.9102431,SCUBE3,"signal peptide, CUB domain and EGF like domain containing 3"
205044_at,0.01164,7.48e-05,-5.553322,1.861473,-0.7928,GABRP,gamma-aminobutyric acid type A receptor pi subunit
201191_at,0.01164,7.53e-05,5.549017,1.85436,1.1700645,PITPNA,phosphatidylinositol transfer protein alpha
202061_s_at,0.01164,7.57e-05,5.546585,1.850341,1.7259098,SEL1L,SEL1L ERAD E3 ligase adaptor subunit
215952_s_at,0.01164,7.57e-05,5.546198,1.849701,2.1170562,OAZ1,ornithine decarboxylase antizyme 1
205324_s_at,0.01199,7.86e-05,5.525392,1.815276,0.9180362,FTSJ1,FtsJ RNA methyltransferase homolog 1 (E. coli)
203429_s_at,0.01201,7.93e-05,5.520347,1.806919,1.228171,SUCO,SUN domain containing ossification factor
213130_at,0.01201,7.98e-05,-5.516747,1.800953,-0.6769214,ZNF473,zinc finger protein 473
222024_s_at,0.01201,8.03e-05,-5.512984,1.794715,-1.2675443,AKAP13,A-kinase anchoring protein 13
204688_at,0.01213,8.17e-05,5.503492,1.778969,2.1281176,SGCE,sarcoglycan epsilon
203584_at,0.01218,8.37e-05,5.489231,1.755286,1.8193986,EMC2,ER membrane protein complex subunit 2
212751_at,0.01218,8.39e-05,5.487922,1.75311,1.391661,UBE2N,ubiquitin conjugating enzyme E2 N
211569_s_at,0.01218,8.41e-05,5.487021,1.751614,2.4843348,HADH,hydroxyacyl-CoA dehydrogenase
209318_x_at,0.01218,8.48e-05,5.481837,1.742994,1.8804662,PLAGL1,PLAG1 like zinc finger 1
219449_s_at,0.01218,8.51e-05,5.479916,1.739801,1.9839124,TMEM70,transmembrane protein 70
212740_at,0.01218,8.53e-05,5.478818,1.737974,1.4856462,PIK3R4,phosphoinositide-3-kinase regulatory subunit 4
218147_s_at,0.01221,8.64e-05,5.471531,1.725849,1.9176712,GLT8D1,glycosyltransferase 8 domain containing 1
210981_s_at,0.01221,8.69e-05,-5.468167,1.720249,-1.0815788,GRK6,G protein-coupled receptor kinase 6
218140_x_at,0.01221,8.74e-05,5.46485,1.714725,1.2591183,SRPRB,SRP receptor beta subunit
219140_s_at,0.01221,8.77e-05,5.463452,1.712396,2.7196617,RBP4,retinol binding protein 4
210101_x_at,0.01224,8.9e-05,5.455194,1.698634,1.414044,SH3GLB1,SH3 domain containing GRB2 like endophilin B1
208722_s_at,0.01224,8.91e-05,5.454471,1.69743,1.3970793,ANAPC5,anaphase promoting complex subunit 5
222127_s_at,0.01224,8.95e-05,5.451613,1.692665,1.3365283,EXOC1,exocyst complex component 1
214658_at,0.01231,9.06e-05,5.445063,1.681738,2.1909205,TMED7-TICAM2///TMED7,TMED7-TICAM2 readthrough///transmembrane p24 trafficking protein 7
203165_s_at,0.01258,9.36e-05,5.426743,1.651144,0.5908212,SLC33A1,solute carrier family 33 member 1
203537_at,0.01258,9.41e-05,5.423474,1.64568,1.0316952,PRPSAP2,phosphoribosyl pyrophosphate synthetase associated protein 2
210835_s_at,0.01258,9.48e-05,-5.419683,1.63934,-1.3324486,CTBP2,C-terminal binding protein 2
218716_x_at,0.01258,9.48e-05,5.419327,1.638745,0.8853571,MTO1,mitochondrial tRNA translation optimization 1
204136_at,0.01266,9.6e-05,-5.412167,1.626764,-0.7943214,COL7A1,collagen type VII alpha 1 chain
218386_x_at,0.01271,9.72e-05,5.405414,1.615459,1.8282155,USP16,ubiquitin specific peptidase 16
201339_s_at,0.01271,9.75e-05,5.403605,1.612431,2.4668888,SCP2,sterol carrier protein 2
213227_at,0.01278,9.94e-05,5.393092,1.594813,1.8502817,PGRMC2,progesterone receptor membrane component 2
209119_x_at,0.01278,9.98e-05,-5.390418,1.590328,-0.9734095,NR2F2,nuclear receptor subfamily 2 group F member 2
203162_s_at,0.01278,0.000101,5.385261,1.581679,0.6738781,KATNB1,katanin regulatory subunit B1
212154_at,0.01278,0.000101,5.384477,1.580364,1.3515414,SDC2,syndecan 2
201343_at,0.01278,0.000101,5.384315,1.580091,1.3388302,UBE2D2,ubiquitin conjugating enzyme E2 D2
203652_at,0.01284,0.000102,-5.378428,1.570211,-1.0009214,MAP3K11,mitogen-activated protein kinase kinase kinase 11
219591_at,0.01291,0.000104,-5.369917,1.555918,-0.902196,CEND1,cell cycle exit and neuronal differentiation 1
208604_s_at,0.01291,0.000104,-5.369307,1.554893,-0.7049995,HOXA3,homeobox A3
204655_at,0.01292,0.000104,-5.365749,1.548913,-0.8213962,CCL5,C-C motif chemokine ligand 5
208684_at,0.01296,0.000106,5.358526,1.536769,0.806684,COPA,coatomer protein complex subunit alpha
212371_at,0.01296,0.000106,5.357784,1.535522,1.7082517,DESI2,desumoylating isopeptidase 2
203687_at,0.0131,0.000108,-5.348199,1.519394,-1.0334038,CX3CL1,C-X3-C motif chemokine ligand 1
205998_x_at,0.0131,0.000109,-5.341609,1.508297,-0.7782824,CYP3A4,cytochrome P450 family 3 subfamily A member 4
206322_at,0.0131,0.00011,-5.33403,1.495526,-0.5851698,SYN3,synapsin III
203279_at,0.0131,0.000111,5.333046,1.493868,0.7838121,EDEM1,ER degradation enhancing alpha-mannosidase like protein 1
211984_at,0.0131,0.000111,5.330516,1.489602,2.0521883,CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1
209095_at,0.0131,0.000112,5.326008,1.482,2.3253433,DLD,dihydrolipoamide dehydrogenase
220475_at,0.0131,0.000113,-5.321051,1.473636,-0.9249288,SLC28A3,solute carrier family 28 member 3
221968_s_at,0.0131,0.000114,-5.316211,1.465467,-0.7586605,ZNF771,zinc finger protein 771
209300_s_at,0.0131,0.000114,5.315413,1.46412,1.3906669,NECAP1,NECAP endocytosis associated 1
212270_x_at,0.0131,0.000114,5.314709,1.462932,1.2025643,RPL17-C18orf32///SNORD58C///C18orf32///SNORD58A///SNORD58B///RPL17,"RPL17-C18orf32 readthrough///small nucleolar RNA, C/D box 58C///chromosome 18 open reading frame 32///small nucleolar RNA, C/D box 58A///small nucleolar RNA, C/D box 58B///ribosomal protein L17"
202342_s_at,0.0131,0.000115,5.312405,1.459042,2.0259381,TRIM2,tripartite motif containing 2
218170_at,0.0131,0.000115,5.31169,1.457833,1.5500707,ISOC1,isochorismatase domain containing 1
209180_at,0.0131,0.000116,5.306502,1.449069,1.9416598,RABGGTB,Rab geranylgeranyltransferase beta subunit
220374_at,0.0131,0.000117,-5.301223,1.440147,-0.684166,KLHL28,kelch like family member 28
219708_at,0.0131,0.000117,-5.300199,1.438416,-0.6078929,NT5M,"5',3'-nucleotidase, mitochondrial"
211040_x_at,0.0131,0.000118,-5.295971,1.431268,-0.9231126,GTSE1,G2 and S-phase expressed 1
201714_at,0.0131,0.000118,5.294912,1.429476,1.4693371,TUBG1,tubulin gamma 1
214359_s_at,0.0131,0.000119,5.294788,1.429266,2.1630231,HSP90AB1,heat shock protein 90 alpha family class B member 1
209397_at,0.0131,0.000119,5.293838,1.42766,1.8643545,ME2,malic enzyme 2
204892_x_at,0.01313,0.00012,5.289551,1.420407,1.0737857,EEF1A1,eukaryotic translation elongation factor 1 alpha 1
214320_x_at,0.01316,0.000121,-5.282575,1.408597,-0.5812431,CYP2A6,cytochrome P450 family 2 subfamily A member 6
208939_at,0.01316,0.000121,5.281515,1.406802,1.0902998,SEPHS1,selenophosphate synthetase 1
209235_at,0.01316,0.000122,-5.278436,1.401588,-0.6992693,CLCN7,chloride voltage-gated channel 7
209838_at,0.01316,0.000123,5.27505,1.395851,1.2487998,COPS2,COP9 signalosome subunit 2
201780_s_at,0.01316,0.000125,5.266969,1.382154,1.8198902,RNF13,ring finger protein 13
212754_s_at,0.01316,0.000125,5.264855,1.378569,0.8413424,MON2,"MON2 homolog, regulator of endosome-to-Golgi trafficking"
200929_at,0.01316,0.000125,5.264727,1.378352,1.71581,TMED10,transmembrane p24 trafficking protein 10
201133_s_at,0.01316,0.000125,5.26395,1.377033,1.9012181,PJA2,praja ring finger ubiquitin ligase 2
202069_s_at,0.01316,0.000127,5.257329,1.365801,1.2815362,IDH3A,isocitrate dehydrogenase 3 (NAD(+)) alpha
216274_s_at,0.01316,0.000128,5.254124,1.360361,2.0492369,SEC11A,"SEC11 homolog A, signal peptidase complex subunit"
210399_x_at,0.01316,0.000128,-5.253608,1.359485,-0.6958145,FUT6,fucosyltransferase 6
204558_at,0.01316,0.000129,-5.249786,1.352995,-0.6819226,RAD54L,RAD54-like (S. cerevisiae)
213467_at,0.01316,0.000129,-5.24977,1.352968,-0.604766,RND2,Rho family GTPase 2
218172_s_at,0.01316,0.000129,5.249709,1.352865,1.9677695,DERL1,derlin 1
211073_x_at,0.01316,0.000129,5.248944,1.351565,0.7043786,SNORD83B///SNORD139///RPL3,"small nucleolar RNA, C/D box 83B///small nucleolar RNA, C/D box 139///ribosomal protein L3"
218705_s_at,0.01322,0.00013,5.242696,1.340952,0.7158719,SNX24,sorting nexin 24
217770_at,0.01322,0.000132,5.236278,1.330043,1.1626219,PIGT,phosphatidylinositol glycan anchor biosynthesis class T
219946_x_at,0.01322,0.000134,-5.226769,1.313869,-0.8518845,MYH14,"myosin, heavy chain 14, non-muscle"
221482_s_at,0.01322,0.000135,5.224405,1.309845,1.6899283,ARPP19,cAMP regulated phosphoprotein 19
201458_s_at,0.01322,0.000136,5.217923,1.298811,1.2986864,BUB3,"BUB3, mitotic checkpoint protein"
210417_s_at,0.01322,0.000137,5.21441,1.292828,0.7981045,PI4KB,phosphatidylinositol 4-kinase beta
221376_at,0.01322,0.000137,-5.214262,1.292575,-0.7464705,FGF17,fibroblast growth factor 17
212731_at,0.01322,0.000137,5.214067,1.292244,1.5986445,ANKRD46,ankyrin repeat domain 46
205692_s_at,0.01322,0.000138,-5.211383,1.28767,-0.6563124,CD38,CD38 molecule
210051_at,0.01322,0.000139,-5.208444,1.282663,-0.6541212,RAPGEF3,Rap guanine nucleotide exchange factor 3
207135_at,0.01322,0.000139,-5.204602,1.276113,-0.6576521,HTR2A,5-hydroxytryptamine receptor 2A
203816_at,0.01322,0.00014,5.20293,1.273262,0.8398145,DGUOK,deoxyguanosine kinase
203071_at,0.01322,0.000141,-5.198356,1.265462,-0.9628914,MIR6872///SEMA3B,microRNA 6872///semaphorin 3B
201688_s_at,0.01322,0.000142,5.19588,1.261237,1.8619621,TPD52,tumor protein D52
218108_at,0.01322,0.000142,5.194649,1.259137,1.3840043,UBR7,ubiquitin protein ligase E3 component n-recognin 7 (putative)
202119_s_at,0.01322,0.000142,5.194557,1.258979,2.1647557,CPNE3,copine 3
208345_s_at,0.01322,0.000142,-5.193841,1.257758,-0.6224919,POU3F1,POU class 3 homeobox 1
41160_at,0.01322,0.000143,-5.192558,1.255569,-0.8390793,MBD3,methyl-CpG binding domain protein 3
206302_s_at,0.01322,0.000143,5.191394,1.253582,1.529329,NUDT4P1///NUDT4P2///NUDT4,nudix hydrolase 4 pseudogene 1///nudix hydrolase 4 pseudogene 2///nudix hydrolase 4
203138_at,0.01322,0.000144,5.187858,1.247546,2.587646,HAT1,histone acetyltransferase 1
203738_at,0.01322,0.000144,5.1866,1.245397,1.3534148,C5orf22,chromosome 5 open reading frame 22
212180_at,0.01322,0.000144,5.186554,1.245318,1.4707405,CRKL,"CRK like proto-oncogene, adaptor protein"
203855_at,0.01322,0.000145,5.184584,1.241954,0.8611845,WDR47,WD repeat domain 47
219794_at,0.01322,0.000145,-5.183862,1.240722,-0.8617662,VPS53,"VPS53, GARP complex subunit"
203156_at,0.01322,0.000146,5.179844,1.233858,2.1540829,AKAP11,A-kinase anchoring protein 11
202520_s_at,0.01322,0.000146,5.179646,1.233519,1.0498914,MLH1,mutL homolog 1
